productId,productDisplayName,publisherDisplayName
befd83e9-0501-bbf8-40a2-36f87a3b6038,Ditto Connect,Squirrels
ad4fc3d5-35bb-cd2c-e50a-37049fa349d5,dnGrep,dnGrep
4b8cbc05-655b-31b5-5b65-35e155cd2a3e,Docker Desktop,Docker Inc.
583b7da1-87d8-3228-2922-372129a42af7,docuPrinter LT,Neevia Technology
a92946f0-556d-f840-0058-373a5024df22,docuPrinter PRO,Neevia Technology
b012be5a-7296-2bcd-7f50-373a4ff67f16,docuPrinter TSE,Neevia Technology
253c6b49-78cb-6164-7865-370a4eea2529,Draftable Desktop,Draftable
89284896-6b0b-2ffc-7296-3694b49c6a4b,draw.io Desktop,draw.io
7d6e2c4a-336f-330a-a548-36c79218b206,dRofus,dRofus
2d439944-a9c0-80c1-c606-364c256d0177,Druva inSync,Druva Technologies Pte. Ltd
71df8120-22db-c20a-a681-364c9eac3198,Duo Desktop,Duo Security Inc.
bf733b5b-91ff-1097-ee90-3728ff70bfb6,DYMO ID,DYMO
37b1f496-70ad-8e18-6012-35e155d146e9,Eclipse Temurin JDK with Hotspot 11 (LTS),Eclipse Foundation
41f49fee-502a-526f-6025-35e155d155d0,Eclipse Temurin JDK with Hotspot 12,Eclipse Foundation
93b20d19-e15a-7288-d74c-3616ebd0ae30,Eclipse Temurin JDK with Hotspot 15,Eclipse Foundation
d57cc046-8a4d-01a8-2527-363a522cea0a,Eclipse Temurin JDK with Hotspot 16,Eclipse Foundation
96dc2b0c-e92b-93f3-762f-36678c4a6d38,Eclipse Temurin JDK with Hotspot 17 (LTS),Eclipse Foundation
723aff7a-3c78-6820-0aea-368a37de4218,Eclipse Temurin JDK with Hotspot 18,Eclipse Foundation
67b15720-b6b0-ac56-c316-36a8f053578d,Eclipse Temurin JDK with Hotspot 19,Eclipse Foundation
6a0a280d-0128-5858-0006-36cdcd6d118f,Eclipse Temurin JDK with Hotspot 20,Eclipse Foundation
ae678ffc-236d-af07-e0d8-36f51e7512ca,Eclipse Temurin JDK with Hotspot 21,Eclipse Foundation
d33d18ab-af55-d3d6-85fc-37126ff096a8,Eclipse Temurin JDK with Hotspot 22,Eclipse Foundation
63ab2d0b-8ada-dc43-4851-373ca2e0f0e8,Eclipse Temurin JDK with Hotspot 23,Eclipse Foundation
2f44f4ec-ff78-5a6c-6038-35e155d15f59,Eclipse Temurin JDK with Hotspot 8 (LTS),Eclipse Foundation
9631b89a-f1ed-9f99-5e0b-35e155cfdaf5,Eclipse Temurin JRE with Hotspot 11 (LTS),Eclipse Foundation
59dbf76b-8cb0-07a4-5df8-35e155cfd29d,Eclipse Temurin JRE with Hotspot 12,Eclipse Foundation
4ab2df9d-483e-73e3-d772-3616ec175885,Eclipse Temurin JRE with Hotspot 15,Eclipse Foundation
0405742c-86a0-f50b-3e0e-363a5375c2e7,Eclipse Temurin JRE with Hotspot 16,Eclipse Foundation
e39aad0b-418e-d3ad-efac-367d863d7cfd,Eclipse Temurin JRE with Hotspot 17 (LTS),Eclipse Foundation
2046edf3-6500-b010-9268-368a3e03528b,Eclipse Temurin JRE with Hotspot 18,Eclipse Foundation
e62f0170-a629-0354-abbb-36a8ef496ea8,Eclipse Temurin JRE with Hotspot 19,Eclipse Foundation
be25533b-8619-05ad-003f-36cdcdb18a02,Eclipse Temurin JRE with Hotspot 20,Eclipse Foundation
a7f9e8f9-3de3-5ac1-8605-37126ff3383b,Eclipse Temurin JRE with Hotspot 22,Eclipse Foundation
91cfb465-ceac-ff87-5949-373ca2eeecc2,Eclipse Temurin JRE with Hotspot 23,Eclipse Foundation
a046f3b5-adb6-c179-5e27-35e155cfeba6,Eclipse Temurin JRE with Hotspot 8 (LTS),Eclipse Foundation
545088a9-bbbf-1732-5c5f-35e155cec84f,Egnyte Connect Desktop App,"Egnyte, Inc."
35c5f5fe-05fe-3d1b-3624-36795f551899,Egnyte WebEdit,"Egnyte, Inc."
2691cfd9-f42b-6f01-7144-3714f6901f39,Elevate UC,"Serverdata.net, Inc."
025147e2-573e-48e7-b1b4-3709eae0bfb5,Elgato Stream Deck,Elgato
8f585e95-209a-1e96-726f-3713311fa445,Encrypt.me,Cloak Holdings LLC
